15541A0342,RT31031,DYNAMICS OF MACHINERY,23,19,0
15541A0342,RT31032,METAL CUTTING & MACHINE TOOLS,19,28,3
15541A0343,RT31031,DYNAMICS OF MACHINERY,19,10,0
15541A0345,RT31016,IPR & PATENTS,25,38,2
15541A0345,RT31035,THERMAL ENGINEERING-II,23,24,3
15541A0348,RT31031,DYNAMICS OF MACHINERY,23,10,0
15541A0348,RT31032,METAL CUTTING & MACHINE TOOLS,21,21,0
15541A0350,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,26,34,3
15541A0351,RT31032,METAL CUTTING & MACHINE TOOLS,18,28,3
15541A0351,RT31033,DESIGN OF MACHINE MEMBERS-I,22,28,3
15541A0352,RT31032,METAL CUTTING & MACHINE TOOLS,20,12,0
15541A0352,RT31036,METROLOGY,16,29,3
15541A0354,RT31032,METAL CUTTING & MACHINE TOOLS,23,-1,0
15541A0355,RT31032,METAL CUTTING & MACHINE TOOLS,20,12,0
15541A0355,RT31033,DESIGN OF MACHINE MEMBERS-I,18,12,0
15541A0356,RT31032,METAL CUTTING & MACHINE TOOLS,21,16,0
15541A0357,RT31016,IPR & PATENTS,21,25,2
15541A0357,RT31031,DYNAMICS OF MACHINERY,24,16,0
15541A0357,RT31032,METAL CUTTING & MACHINE TOOLS,18,-1,0
15541A0357,RT31035,THERMAL ENGINEERING-II,16,15,0
15541A0358,RT31032,METAL CUTTING & MACHINE TOOLS,18,10,0
15541A0358,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,17,13,0
15541A0359,RT31031,DYNAMICS OF MACHINERY,24,33,3
15541A0362,RT31016,IPR & PATENTS,20,36,2
15541A0362,RT31031,DYNAMICS OF MACHINERY,24,24,3
15541A0362,RT31032,METAL CUTTING & MACHINE TOOLS,20,7,0
15541A0362,RT31033,DESIGN OF MACHINE MEMBERS-I,20,5,0
15541A0362,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,21,13,0
15541A0362,RT31035,THERMAL ENGINEERING-II,17,11,0
15541A0364,RT31033,DESIGN OF MACHINE MEMBERS-I,16,-1,0
15541A0364,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,19,30,3
15541A0364,RT31035,THERMAL ENGINEERING-II,19,29,3
15541A0368,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,23,40,3
15541A0368,RT31035,THERMAL ENGINEERING-II,18,29,3
15541A0369,RT31016,IPR & PATENTS,18,15,0
15541A0369,RT31031,DYNAMICS OF MACHINERY,18,14,0
15541A0369,RT31032,METAL CUTTING & MACHINE TOOLS,16,0,0
15541A0369,RT31033,DESIGN OF MACHINE MEMBERS-I,18,7,0
15541A0369,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,21,7,0
15541A0369,RT31035,THERMAL ENGINEERING-II,20,0,0
15541A0369,RT31036,METROLOGY,17,24,3
15541A0371,RT31031,DYNAMICS OF MACHINERY,20,24,3
15541A0371,RT31032,METAL CUTTING & MACHINE TOOLS,19,27,3
15541A0371,RT31033,DESIGN OF MACHINE MEMBERS-I,9,13,0
15541A0371,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,22,30,3
15541A0371,RT31035,THERMAL ENGINEERING-II,19,29,3
15541A0371,RT31036,METROLOGY,16,30,3
15541A0374,RT31032,METAL CUTTING & MACHINE TOOLS,22,28,3
15541A0375,RT31016,IPR & PATENTS,14,28,2
15541A0375,RT31031,DYNAMICS OF MACHINERY,22,24,3
15541A0375,RT31032,METAL CUTTING & MACHINE TOOLS,17,16,0
15541A0375,RT31033,DESIGN OF MACHINE MEMBERS-I,11,12,0
15541A0375,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,19,24,3
15541A0375,RT31035,THERMAL ENGINEERING-II,13,27,3
