13541A0317,RT42031,PRODUCTION PLANNING AND CONTROL,19,34,3
13541A0317,RT42032,GREEN ENGINEERING SYSTEMS,15,36,3
13541A0317,RT42033D,POWER PLANT ENGINEERING,21,10,0
13541A0317,RT42034A,NON DESTRUCTIVE EVALUATION,16,30,3
13541A0317,RT42035,PROJECT WORK,50,132,9
13541A0318,RT42031,PRODUCTION PLANNING AND CONTROL,25,45,3
13541A0318,RT42032,GREEN ENGINEERING SYSTEMS,23,48,3
13541A0318,RT42033D,POWER PLANT ENGINEERING,22,30,3
13541A0318,RT42034A,NON DESTRUCTIVE EVALUATION,23,32,3
13541A0318,RT42035,PROJECT WORK,58,134,9
13541A0319,RT42031,PRODUCTION PLANNING AND CONTROL,21,56,3
13541A0319,RT42032,GREEN ENGINEERING SYSTEMS,22,34,3
13541A0319,RT42033D,POWER PLANT ENGINEERING,19,29,3
13541A0319,RT42034A,NON DESTRUCTIVE EVALUATION,18,52,3
13541A0319,RT42035,PROJECT WORK,57,133,9
13541A0320,RT42031,PRODUCTION PLANNING AND CONTROL,23,49,3
13541A0320,RT42032,GREEN ENGINEERING SYSTEMS,19,31,3
13541A0320,RT42033D,POWER PLANT ENGINEERING,20,26,3
13541A0320,RT42034A,NON DESTRUCTIVE EVALUATION,21,46,3
13541A0320,RT42035,PROJECT WORK,55,134,9
13541A0321,RT42031,PRODUCTION PLANNING AND CONTROL,24,17,0
13541A0321,RT42032,GREEN ENGINEERING SYSTEMS,22,35,3
13541A0321,RT42033D,POWER PLANT ENGINEERING,23,29,3
13541A0321,RT42034A,NON DESTRUCTIVE EVALUATION,22,41,3
13541A0321,RT42035,PROJECT WORK,56,134,9
13541A0322,RT42031,PRODUCTION PLANNING AND CONTROL,23,29,3
13541A0322,RT42032,GREEN ENGINEERING SYSTEMS,20,42,3
13541A0322,RT42033D,POWER PLANT ENGINEERING,20,8,0
13541A0322,RT42034A,NON DESTRUCTIVE EVALUATION,19,30,3
13541A0322,RT42035,PROJECT WORK,57,133,9
13541A0323,RT42031,PRODUCTION PLANNING AND CONTROL,24,58,3
13541A0323,RT42032,GREEN ENGINEERING SYSTEMS,24,45,3
13541A0323,RT42033D,POWER PLANT ENGINEERING,24,44,3
13541A0323,RT42034A,NON DESTRUCTIVE EVALUATION,24,68,3
13541A0323,RT42035,PROJECT WORK,59,137,9
13541A0324,RT42031,PRODUCTION PLANNING AND CONTROL,23,40,3
13541A0324,RT42032,GREEN ENGINEERING SYSTEMS,23,29,3
13541A0324,RT42033D,POWER PLANT ENGINEERING,24,34,3
13541A0324,RT42034A,NON DESTRUCTIVE EVALUATION,22,44,3
13541A0324,RT42035,PROJECT WORK,57,135,9
13541A0326,RT42031,PRODUCTION PLANNING AND CONTROL,24,34,3
13541A0326,RT42032,GREEN ENGINEERING SYSTEMS,21,54,3
13541A0326,RT42033D,POWER PLANT ENGINEERING,18,34,3
13541A0326,RT42034A,NON DESTRUCTIVE EVALUATION,21,38,3
13541A0326,RT42035,PROJECT WORK,52,132,9
13541A0327,RT42031,PRODUCTION PLANNING AND CONTROL,21,25,3
13541A0327,RT42032,GREEN ENGINEERING SYSTEMS,20,49,3
13541A0327,RT42033D,POWER PLANT ENGINEERING,22,25,3
13541A0327,RT42034A,NON DESTRUCTIVE EVALUATION,20,30,3
13541A0327,RT42035,PROJECT WORK,56,135,9
13541A0328,RT42031,PRODUCTION PLANNING AND CONTROL,24,54,3
13541A0328,RT42032,GREEN ENGINEERING SYSTEMS,23,39,3
13541A0328,RT42033D,POWER PLANT ENGINEERING,24,38,3
13541A0328,RT42034A,NON DESTRUCTIVE EVALUATION,23,51,3
13541A0328,RT42035,PROJECT WORK,53,135,9
13541A0329,RT42031,PRODUCTION PLANNING AND CONTROL,21,38,3
13541A0329,RT42032,GREEN ENGINEERING SYSTEMS,16,26,3
13541A0329,RT42033D,POWER PLANT ENGINEERING,20,15,0
13541A0329,RT42034A,NON DESTRUCTIVE EVALUATION,18,46,3
13541A0329,RT42035,PROJECT WORK,50,130,9
13541A0330,RT42031,PRODUCTION PLANNING AND CONTROL,21,42,3
13541A0330,RT42032,GREEN ENGINEERING SYSTEMS,20,42,3
13541A0330,RT42033D,POWER PLANT ENGINEERING,21,19,0
13541A0330,RT42034A,NON DESTRUCTIVE EVALUATION,20,39,3
13541A0330,RT42035,PROJECT WORK,54,133,9
13541A0331,RT42031,PRODUCTION PLANNING AND CONTROL,24,30,3
13541A0331,RT42032,GREEN ENGINEERING SYSTEMS,21,60,3
13541A0331,RT42033D,POWER PLANT ENGINEERING,20,24,3
13541A0331,RT42034A,NON DESTRUCTIVE EVALUATION,22,40,3
13541A0331,RT42035,PROJECT WORK,54,134,9
13541A0332,RT42031,PRODUCTION PLANNING AND CONTROL,19,52,3
13541A0332,RT42032,GREEN ENGINEERING SYSTEMS,19,32,3
13541A0332,RT42033D,POWER PLANT ENGINEERING,20,32,3
13541A0332,RT42034A,NON DESTRUCTIVE EVALUATION,21,55,3
13541A0332,RT42035,PROJECT WORK,51,133,9
13541A0333,RT42031,PRODUCTION PLANNING AND CONTROL,22,40,3
13541A0333,RT42032,GREEN ENGINEERING SYSTEMS,21,31,3
13541A0333,RT42033D,POWER PLANT ENGINEERING,20,30,3
13541A0333,RT42034A,NON DESTRUCTIVE EVALUATION,19,34,3
13541A0333,RT42035,PROJECT WORK,58,134,9
13541A0334,RT42031,PRODUCTION PLANNING AND CONTROL,17,24,3
13541A0334,RT42032,GREEN ENGINEERING SYSTEMS,20,33,3
13541A0334,RT42033D,POWER PLANT ENGINEERING,19,5,0
13541A0334,RT42034A,NON DESTRUCTIVE EVALUATION,18,30,3
13541A0334,RT42035,PROJECT WORK,53,133,9
13541A0335,RT42031,PRODUCTION PLANNING AND CONTROL,26,46,3
13541A0335,RT42032,GREEN ENGINEERING SYSTEMS,20,50,3
13541A0335,RT42033D,POWER PLANT ENGINEERING,21,24,3
13541A0335,RT42034A,NON DESTRUCTIVE EVALUATION,25,43,3
13541A0335,RT42035,PROJECT WORK,57,135,9
