100688,14541A0334,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100689,14541A0334,RT32034,ROBOTICS,25,19,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100690,14541A0334,RT32035,HEAT TRANSFER,26,39,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100691,14541A0336,RT32037A,REFRIGERATION & AIR CONDITIONING,18,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100692,14541A0342,RT32037A,REFRIGERATION & AIR CONDITIONING,20,28,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100693,14541A0343,RT32035,HEAT TRANSFER,26,36,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100694,14541A0344,RT32034,ROBOTICS,24,28,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100695,14541A0345,RT32034,ROBOTICS,23,28,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100696,14541A0345,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,23,33,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100697,14541A0348,RT32034,ROBOTICS,24,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100698,14541A0350,RT32035,HEAT TRANSFER,28,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100699,14541A0351,RT32034,ROBOTICS,24,28,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100700,14541A0351,RT32035,HEAT TRANSFER,20,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100701,14541A0352,RT32031,OPERATIONS RESEARCH,25,18,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100702,14541A0352,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,30,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100703,14541A0355,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100704,14541A0355,RT32034,ROBOTICS,26,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100705,14541A0355,RT32035,HEAT TRANSFER,21,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
