54724,14541A0361,RT31036,METROLOGY,18,10,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54725,14541A0363,RT31031,DYNAMICS OF MACHINERY,22,16,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54726,14541A0364,RT31031,DYNAMICS OF MACHINERY,19,14,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54727,14541A0366,RT31032,METAL CUTTING & MACHINE TOOLS,21,15,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54728,14541A0366,RT31036,METROLOGY,18,36,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54729,14541A0369,RT31016,IPR & PATENTS,18,24,2,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54730,14541A0369,RT31031,DYNAMICS OF MACHINERY,24,29,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54731,14541A0369,RT31032,METAL CUTTING & MACHINE TOOLS,19,25,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54732,14541A0370,RT31032,METAL CUTTING & MACHINE TOOLS,16,16,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54733,14541A0370,RT31035,THERMAL ENGINEERING-II,16,12,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54734,14541A0370,RT31036,METROLOGY,16,20,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54735,14541A0373,RT31031,DYNAMICS OF MACHINERY,27,16,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54736,14541A0374,RT31032,METAL CUTTING & MACHINE TOOLS,17,24,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54737,14541A0374,RT31033,DESIGN OF MACHINE MEMBERS-I,20,28,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54738,14541A0375,RT31032,METAL CUTTING & MACHINE TOOLS,18,29,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54739,14541A0378,RT31031,DYNAMICS OF MACHINERY,21,24,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54740,14541A0378,RT31033,DESIGN OF MACHINE MEMBERS-I,16,13,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54741,14541A0378,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,21,34,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54742,14541A0378,RT31035,THERMAL ENGINEERING-II,17,14,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54743,14541A0379,RT31031,DYNAMICS OF MACHINERY,20,8,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54744,14541A0379,RT31032,METAL CUTTING & MACHINE TOOLS,16,24,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54745,14541A0379,RT31033,DESIGN OF MACHINE MEMBERS-I,19,18,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54746,14541A0379,RT31036,METROLOGY,17,18,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54747,14541A0382,RT31032,METAL CUTTING & MACHINE TOOLS,19,26,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54748,14541A0382,RT31035,THERMAL ENGINEERING-II,22,-1,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54749,14541A0382,RT31036,METROLOGY,17,-1,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54750,14541A0383,RT31031,DYNAMICS OF MACHINERY,16,16,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54751,14541A0386,RT31032,METAL CUTTING & MACHINE TOOLS,21,16,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54752,14541A0386,RT31035,THERMAL ENGINEERING-II,23,27,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54753,14541A0388,RT31031,DYNAMICS OF MACHINERY,23,11,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54754,14541A0388,RT31035,THERMAL ENGINEERING-II,19,32,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54755,14541A0390,RT31032,METAL CUTTING & MACHINE TOOLS,5,4,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54756,14541A0390,RT31035,THERMAL ENGINEERING-II,7,-1,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54757,14541A0390,RT31036,METROLOGY,9,-1,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54758,14541A0390,RT31037,METROLOGY & INSTRUMENTATION LAB,20,40,2,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54759,14541A0403,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,22,42,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54760,14541A0403,RT31044,DIGITAL SYSTEM DESIGN & DICA,19,38,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54761,14541A0404,RT31044,DIGITAL SYSTEM DESIGN & DICA,21,36,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54762,14541A0409,RT31045,ANTENNAS AND WAVE PROPAGATION,19,22,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54763,14541A0410,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,16,5,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54764,14541A0410,RT31044,DIGITAL SYSTEM DESIGN & DICA,21,19,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54765,14541A0414,RT31044,DIGITAL SYSTEM DESIGN & DICA,27,38,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54766,14541A0417,RT31041,PULSE & DIGITAL CIRCUITS,19,12,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54767,14541A0431,RT31041,PULSE & DIGITAL CIRCUITS,27,18,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54768,14541A0435,RT31041,PULSE & DIGITAL CIRCUITS,15,13,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54769,14541A0435,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,21,24,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54770,14541A0435,RT31045,ANTENNAS AND WAVE PROPAGATION,19,27,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54771,14541A0438,RT31016,IPR & PATENTS,23,30,2,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54772,14541A0438,RT31041,PULSE & DIGITAL CIRCUITS,22,4,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54773,14541A0438,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,13,36,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54774,14541A0438,RT31043,CONTROL SYSTEMS,7,15,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54775,14541A0438,RT31044,DIGITAL SYSTEM DESIGN & DICA,19,9,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54776,14541A0440,RT31045,ANTENNAS AND WAVE PROPAGATION,16,9,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54777,14541A0442,RT31041,PULSE & DIGITAL CIRCUITS,20,13,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
