135673,14541A0473,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,16,5,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135674,14541A0482,RT31041,PULSE & DIGITAL CIRCUITS,18,9,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135675,14541A0482,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,25,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135676,14541A0482,RT31045,ANTENNAS AND WAVE PROPAGATION,16,6,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135677,14541A0506,RT31055,OPERATING SYSTEMS,17,19,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135678,14541A0510,RT31055,OPERATING SYSTEMS,19,14,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135679,14541A0529,RT31054,DATABASE MANAGEMENT SYSTEMS,23,7,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135680,14541A0533,RT31055,OPERATING SYSTEMS,13,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135681,14545A0305,RT31036,METROLOGY,19,16,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135682,14545A0401,RT31041,PULSE & DIGITAL CIRCUITS,16,21,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135683,14545A0401,RT31045,ANTENNAS AND WAVE PROPAGATION,16,18,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135684,14545A0403,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,17,31,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135685,14545A0404,RT31043,CONTROL SYSTEMS,19,28,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135686,14545A0404,RT31044,DIGITAL SYSTEM DESIGN & DICA,18,33,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135687,14545A0407,RT31041,PULSE & DIGITAL CIRCUITS,16,24,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135688,14545A0407,RT31043,CONTROL SYSTEMS,12,17,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135689,14545A0407,RT31044,DIGITAL SYSTEM DESIGN & DICA,17,17,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135690,14545A0407,RT31045,ANTENNAS AND WAVE PROPAGATION,16,24,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135691,14545A0409,RT31041,PULSE & DIGITAL CIRCUITS,16,28,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135692,14545A0409,RT31043,CONTROL SYSTEMS,10,14,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135693,14545A0409,RT31045,ANTENNAS AND WAVE PROPAGATION,16,29,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135694,14545A0410,RT31045,ANTENNAS AND WAVE PROPAGATION,17,15,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135695,14545A0412,RT31041,PULSE & DIGITAL CIRCUITS,16,10,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135696,14545A0415,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,17,17,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135697,14545A0415,RT31043,CONTROL SYSTEMS,17,9,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135698,147E5A0306,RT31031,DYNAMICS OF MACHINERY,13,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135699,147E5A0306,RT31033,DESIGN OF MACHINE MEMBERS-I,16,6,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135700,147E5A0306,RT31035,THERMAL ENGINEERING-II,17,12,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135701,14PA1A0262,RT31021,ELECTRICAL MEASUREMENTS,23,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135702,14PA1A0262,RT31023,POWER SYSTEMS-II,21,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135703,14PA1A0262,RT31024,ELECTRICAL MACHINES-III,23,11,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135704,14PA1A0262,RT31025,POWER ELECTRONICS,26,9,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135705,14PA1A0262,RT31026,LINEAR & DIGITAL IC APPLICATIONS,20,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135706,15541A0207,RT31016,IPR & PATENTS,25,36,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135707,15541A0207,RT31024,ELECTRICAL MACHINES-III,21,24,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135708,15541A0211,RT31016,IPR & PATENTS,26,37,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135709,15541A0211,RT31024,ELECTRICAL MACHINES-III,27,24,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135710,15541A0212,RT31023,POWER SYSTEMS-II,26,0,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135711,15541A0217,RT31016,IPR & PATENTS,28,35,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135712,15541A0221,RT31016,IPR & PATENTS,24,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135713,15541A0224,RT31024,ELECTRICAL MACHINES-III,24,9,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135714,15541A0225,RT31016,IPR & PATENTS,27,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135715,15541A0225,RT31024,ELECTRICAL MACHINES-III,25,-1,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135716,15541A0226,RT31023,POWER SYSTEMS-II,24,9,0,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135717,15541A0226,RT31026,LINEAR & DIGITAL IC APPLICATIONS,22,28,3,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
135718,15541A0229,RT31016,IPR & PATENTS,26,36,2,31,Results For III B.TECH I Semester Supplementary Examinations May-2018(Marks)
