73023,13545A0403,R21042,NETWORK ANALYSIS,14,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73024,13545A0403,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSES,19,13,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73025,14541A0210,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,18,7,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73026,14541A0210,RT21026,ELECTRICAL MACHINES-I,19,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73027,14541A0214,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,16,30,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73028,14541A0223,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,17,33,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73029,14541A0223,RT21025,ELECTRO MAGNETIC FIELDS,18,24,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73030,14541A0237,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,19,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73031,14541A0238,RT21023,BASIC ELECTRONICS AND DEVICES,25,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73032,14541A0240,RT21025,ELECTRO MAGNETIC FIELDS,14,6,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73033,14541A0301,RT21032,MECHANICS OF SOLIDS,23,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73034,14541A0305,RT21031,METALLURGY & MATERIALS SCIENCE,13,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73035,14541A0305,RT21032,MECHANICS OF SOLIDS,16,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73036,14541A0310,RT21033,THERMODYNAMICS,18,9,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73037,14541A0311,RT21032,MECHANICS OF SOLIDS,20,32,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
