129522,14541A0394,R13202,MATHEMATICS-III,12,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129523,14541A0394,R13207,MATHEMATICS-II (MM),15,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129524,14541A0394,R13209,ENGG. DRAWING,17,41,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129525,14541A0403,R13202,MATHEMATICS-III,17,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129526,14541A0403,R13210,ENGG. MECHANICS,21,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129527,14541A0410,R13202,MATHEMATICS-III,16,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129528,14541A0410,R13211,NETWORK ANALYSIS,23,16,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129529,14541A0412,R13211,NETWORK ANALYSIS,24,20,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129530,14541A0416,R13211,NETWORK ANALYSIS,19,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129531,14541A0417,R13204,ENGG. CHEMISTRY,9,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129532,14541A0417,R13211,NETWORK ANALYSIS,19,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129533,14541A0420,R13211,NETWORK ANALYSIS,21,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129534,14541A0428,R13210,ENGG. MECHANICS,23,15,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129535,14541A0428,R13211,NETWORK ANALYSIS,21,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129536,14541A0433,R13202,MATHEMATICS-III,17,22,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129537,14541A0434,R13202,MATHEMATICS-III,15,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129538,14541A0434,R13210,ENGG. MECHANICS,22,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129539,14541A0434,R13211,NETWORK ANALYSIS,23,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129540,14541A0435,R13204,ENGG. CHEMISTRY,8,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129541,14541A0435,R13205,C PROGRAMMING,20,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129542,14541A0435,R13210,ENGG. MECHANICS,21,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129543,14541A0435,R13211,NETWORK ANALYSIS,21,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129544,14541A0438,R13202,MATHEMATICS-III,14,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129545,14541A0438,R13204,ENGG. CHEMISTRY,11,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
