103257,14541A0236,RT21026,ELECTRICAL MACHINES-I,23,33,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103258,14541A0240,RT21025,ELECTRO MAGNETIC FIELDS,14,17,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103259,14541A0240,RT21026,ELECTRICAL MACHINES-I,22,33,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103260,14541A0305,RT21031,METALLURGY & MATERIALS SCIENCE,13,18,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103261,14541A0305,RT21033,THERMODYNAMICS,23,32,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103262,14541A0311,RT21032,MECHANICS OF SOLIDS,20,10,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103263,14541A0311,RT21033,THERMODYNAMICS,23,15,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103264,14541A0313,RT21032,MECHANICS OF SOLIDS,16,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103265,14541A0313,RT21033,THERMODYNAMICS,18,42,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103266,14541A0316,RT21032,MECHANICS OF SOLIDS,19,3,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103267,14541A0316,RT21033,THERMODYNAMICS,21,31,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103268,14541A0319,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,19,30,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103269,14541A0319,RT21031,METALLURGY & MATERIALS SCIENCE,17,12,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103270,14541A0319,RT21032,MECHANICS OF SOLIDS,17,29,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103271,14541A0319,RT21033,THERMODYNAMICS,16,47,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103272,14541A0319,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,17,17,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103273,14541A0319,RT21035,COMPUTER AIDED ENGINEERING DRAWING PRACT,16,44,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103274,14541A0319,RT21036,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,21,43,2,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103275,14541A0319,RT21037,MECHANICS OF SOLIDS & METALLURGY LAB,20,42,2,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103276,14541A0324,RT21031,METALLURGY & MATERIALS SCIENCE,13,2,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103277,14541A0324,RT21032,MECHANICS OF SOLIDS,15,8,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103278,14541A0326,RT21033,THERMODYNAMICS,18,34,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103279,14541A0327,RT21031,METALLURGY & MATERIALS SCIENCE,15,27,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103280,14541A0327,RT21032,MECHANICS OF SOLIDS,17,24,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103281,14541A0327,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,24,29,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103282,,,,,,,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103283,14541A0330,RT21032,MECHANICS OF SOLIDS,16,6,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103284,14541A0332,RT21031,METALLURGY & MATERIALS SCIENCE,12,28,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103285,14541A0332,RT21032,MECHANICS OF SOLIDS,15,8,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103286,14541A0334,RT21032,MECHANICS OF SOLIDS,24,6,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103287,14541A0335,RT21032,MECHANICS OF SOLIDS,23,30,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103288,14541A0335,RT21033,THERMODYNAMICS,21,25,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103289,14541A0336,RT21032,MECHANICS OF SOLIDS,20,24,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103290,14541A0342,RT21031,METALLURGY & MATERIALS SCIENCE,12,2,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103291,14541A0342,RT21033,THERMODYNAMICS,14,36,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103292,14541A0347,RT21031,METALLURGY & MATERIALS SCIENCE,16,3,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103293,14541A0347,RT21033,THERMODYNAMICS,18,33,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103294,14541A0348,RT21033,THERMODYNAMICS,20,35,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103295,14541A0361,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,14,6,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103296,14541A0361,RT21031,METALLURGY & MATERIALS SCIENCE,13,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103297,14541A0361,RT21032,MECHANICS OF SOLIDS,9,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103298,14541A0361,RT21033,THERMODYNAMICS,12,10,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103299,14541A0363,RT21031,METALLURGY & MATERIALS SCIENCE,12,23,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103300,14541A0363,RT21032,MECHANICS OF SOLIDS,19,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103301,14541A0364,RT21032,MECHANICS OF SOLIDS,18,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103302,14541A0366,RT21032,MECHANICS OF SOLIDS,19,13,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103303,14541A0368,RT21032,MECHANICS OF SOLIDS,23,18,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103304,14541A0370,RT21031,METALLURGY & MATERIALS SCIENCE,13,12,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103305,14541A0378,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,16,27,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103306,14541A0378,RT21033,THERMODYNAMICS,20,31,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103307,14541A0378,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,17,25,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103308,14541A0379,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,14,29,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103309,14541A0379,RT21032,MECHANICS OF SOLIDS,10,3,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103310,14541A0383,RT21031,METALLURGY & MATERIALS SCIENCE,14,2,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103311,14541A0383,RT21033,THERMODYNAMICS,17,28,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103312,14541A0386,RT21032,MECHANICS OF SOLIDS,15,8,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103313,14541A0387,RT21033,THERMODYNAMICS,22,34,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103314,14541A0391,RT21033,THERMODYNAMICS,20,8,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103315,14541A0392,RT21032,MECHANICS OF SOLIDS,16,11,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103316,14541A0394,RT21032,MECHANICS OF SOLIDS,16,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103317,14541A0405,RT21041,ELECTRONIC DEVICES AND CIRCUITS,10,7,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103318,14541A0405,RT21042,DATA STRUCTURES,16,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103319,14541A0405,RT21044,SIGNALS AND SYSTEMS,10,2,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103320,14541A0405,RT21045,ELECTRICAL TECHNOLOGY,10,16,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103321,14541A0415,RT21045,ELECTRICAL TECHNOLOGY,18,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103322,14541A0417,RT21043,ENVIRONMENTAL STUDIES,14,12,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103323,14541A0434,RT21041,ELECTRONIC DEVICES AND CIRCUITS,20,5,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103324,14541A0434,RT21043,ENVIRONMENTAL STUDIES,19,26,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
