80211,15541A0207,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,25,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80212,15541A0209,R13204,ENGG. CHEMISTRY,22,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80213,15541A0209,R13205,C PROGRAMMING,25,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80214,15541A0211,R13204,ENGG. CHEMISTRY,24,35,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80215,15541A0211,R13210,ENGG. MECHANICS,28,24,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80216,15541A0211,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80217,15541A0212,R13202,MATHEMATICS-III,16,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80218,15541A0212,R13204,ENGG. CHEMISTRY,18,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80219,15541A0212,R13205,C PROGRAMMING,21,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80220,15541A0219,R13205,C PROGRAMMING,21,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80221,15541A0220,R13205,C PROGRAMMING,24,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80222,15541A0222,R13204,ENGG. CHEMISTRY,23,53,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80223,15541A0226,R13204,ENGG. CHEMISTRY,17,44,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80224,15541A0229,R13204,ENGG. CHEMISTRY,25,58,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80225,15541A0229,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,30,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80226,15541A0232,R13210,ENGG. MECHANICS,21,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80227,15541A0233,R13202,MATHEMATICS-III,16,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80228,15541A0233,R13205,C PROGRAMMING,20,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80229,15541A0234,R13204,ENGG. CHEMISTRY,16,25,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
